'jin'bi 金币
'a'xiu'luo'shu'shi'bo'tie 阿修罗术士钵铁
'a'xiu'luo'hao'shi'fu'dang 阿修罗豪士腹当
'a'xiu'luo'qiang'shi'dou'yi 阿修罗枪士斗衣
'a'xiu'luo'quan'shi'dou'yi 阿修罗拳士斗衣
'a'xiu'luo'gong'shi'dao'yi 阿修罗弓士道衣
'a'xiu'luo'jian'shi'dao'yi 阿修罗间士道衣
'a'xiu'luo'xue'shi'dao'yi 阿修罗学士道衣
'a'xiu'luo'shu'shi'dao'yi 阿修罗术士道衣
'a'xiu'luo'hao'shi'long'shou 阿修罗豪士笼手
'a'xiu'luo'qiang'shi'shou'jia 阿修罗枪士手甲
'a'xiu'luo'quan'shi'shou'jia 阿修罗拳士手甲
'a'xiu'luo'gong'shi'hu'shou 阿修罗弓士护手
'a'xiu'luo'jian'shi'shou'jia 阿修罗间士手甲
'a'xiu'luo'xue'shi'shou'jia 阿修罗学士手甲
'a'xiu'luo'shu'shi'shou'jia 阿修罗术士手甲
'a'xiu'luo'hao'shi'dai 阿修罗豪士带
'a'xiu'luo'qiang'shi'dai 阿修罗枪士带
'a'xiu'luo'quan'shi'dai 阿修罗拳士带
'a'xiu'luo'gong'shi'dai 阿修罗弓士带
'a'xiu'luo'jian'shi'dai 阿修罗间士带
'a'xiu'luo'xue'shi'dai 阿修罗学士带
'a'xiu'luo'shu'shi'dai 阿修罗术士带
'a'xiu'luo'hao'shi'pei'dun 阿修罗豪士佩楯
'a'xiu'luo'qiang'shi'pei'dun 阿修罗枪士佩楯
'a'xiu'luo'quan'shi'pei'dun 阿修罗拳士佩楯
'a'xiu'luo'gong'shi'pei'dun 阿修罗弓士佩楯
'a'xiu'luo'jian'shi'pei'dun 阿修罗间士佩楯
'a'xiu'luo'xue'shi'ku 阿修罗学士袴
'a'xiu'luo'shu'shi'ku 阿修罗术士袴
'a'xiu'luo'hao'shi'hu'jing 阿修罗豪士护胫
'a'xiu'luo'qiang'shi'hu'jing 阿修罗枪士护胫
'a'xiu'luo'quan'shi'hu'jing 阿修罗拳士护胫
'a'xiu'luo'gong'shi'hu'jing 阿修罗弓士护胫
'a'xiu'luo'jian'shi'hu'jing 阿修罗间士护胫
'a'xiu'luo'xue'shi'hu'jing 阿修罗学士护胫
'a'xiu'luo'shu'shi'hu'jing 阿修罗术士护胫
'a'xiu'luo'hao'shi'er'shi 阿修罗豪士耳饰
'a'xiu'luo'dou'shi'er'shi 阿修罗斗士耳饰
'a'xiu'luo'gong'shi'er'shi 阿修罗弓士耳饰
'a'xiu'luo'xue'shi'er'shi 阿修罗学士耳饰
'a'xiu'luo'shu'shi'er'shi 阿修罗术士耳饰
'a'xiu'luo'hao'shi'shou'shi 阿修罗豪士首饰
'a'xiu'luo'dou'shi'shou'shi 阿修罗斗士首饰
'a'xiu'luo'gong'shi'shou'shi 阿修罗弓士首饰
'a'xiu'luo'xue'shi'shou'shi 阿修罗学士首饰
'a'xiu'luo'shu'shi'shou'shi 阿修罗术士首饰
'a'xiu'luo'hao'shi'shou'shi 阿修罗豪士手饰
'a'xiu'luo'dou'shi'shou'shi 阿修罗斗士手饰
'a'xiu'luo'gong'shi'shou'shi 阿修罗弓士手饰
'a'xiu'luo'xue'shi'shou'shi 阿修罗学士手饰
'a'xiu'luo'shu'shi'shou'shi 阿修罗术士手饰
'a'xiu'luo'hao'shi'zhi'shi 阿修罗豪士指饰
'a'xiu'luo'dou'shi'zhi'shi 阿修罗斗士指饰
'a'xiu'luo'gong'shi'zhi'shi 阿修罗弓士指饰
'a'xiu'luo'xue'shi'zhi'shi 阿修罗学士指饰
'a'xiu'luo'shu'shi'zhi'shi 阿修罗术士指饰
'yu'di'chi're'yao'dai 御敌炽热腰带
'zhi'di'chi're'yao'dai 制敌炽热腰带
'qiang'xi'chi're'yao'dai 强袭炽热腰带
'jing'zhun'chi're'yao'dai 精准炽热腰带
'you'ji'chi're'yao'dai 游击炽热腰带
'zhi'yu'chi're'yao'dai 治愈炽热腰带
'yong'zhou'chi're'yao'dai 咏咒炽热腰带
'yu'di'chi're'er'zhui 御敌炽热耳坠
'qiang'gong'chi're'er'zhui 强攻炽热耳坠
'jing'zhun'chi're'er'zhui 精准炽热耳坠
'zhi'yu'chi're'er'zhui 治愈炽热耳坠
'yong'zhou'chi're'er'zhui 咏咒炽热耳坠
'yu'di'chi're'xiang'huan 御敌炽热项环
'qiang'gong'chi're'xiang'huan 强攻炽热项环
'jing'zhun'chi're'xiang'huan 精准炽热项环
'zhi'yu'chi're'xiang'huan 治愈炽热项环
'yong'zhou'chi're'xiang'huan 咏咒炽热项环
'yu'di'chi're'shou'zhuo 御敌炽热手镯
'qiang'gong'chi're'shou'zhuo 强攻炽热手镯
'jing'zhun'chi're'shou'zhuo 精准炽热手镯
'zhi'yu'chi're'shou'zhuo 治愈炽热手镯
'yong'zhou'chi're'shou'zhuo 咏咒炽热手镯
'yu'di'chi're'zhi'huan 御敌炽热指环
'qiang'gong'chi're'zhi'huan 强攻炽热指环
'jing'zhun'chi're'zhi'huan 精准炽热指环
'zhi'yu'chi're'zhi'huan 治愈炽热指环
'yong'zhou'chi're'zhi'huan 咏咒炽热指环
'gao'jie'zhi'jian 高洁之剑
'xu'ri 旭日
'luo'mo'fu 罗摩斧
'guan'lei'qiang'bu'li'ou'na'ke 贯雷枪布里欧纳克
'bo'ling'bo'qin'gong 拨铃波琴弓
'bu'dong'xing'guang 不动行光
'si'wang'shi'zhe 死亡使者
'fei'di'nan'de 费迪南德
'chi'tian'shi'zhang 炽天使杖
'wan'yue'zhang 弯月杖
'si'fang'tian'shi'lu 四方天使录
'ji'he'yuan'ben 几何原本
'tian'yu'xing'xiang 天宇星象
'sheng'nv'dun 圣女盾
'zhong'qi'yi'guan 忠骑翼冠
'zhong'qi'xiong'jia 忠骑胸甲
'zhong'qi'shou'kai 忠骑手铠
'zhong'qi'tui'jia 忠骑腿甲
'zhong'qi'kai'xue 忠骑铠靴
'mi'wu'wang'guan 秘武王冠
'mi'wu'dou'fu 秘武斗服
'mi'wu'hu'wan 秘武护腕
'mi'wu'dou'ku 秘武斗裤
'mi'wu'dou'xie 秘武斗鞋
'xiong'zhan'tou'kui 凶战头盔
'xiong'zhan'xiong'jia 凶战胸甲
'xiong'zhan'hu'shou 凶战护手
'xiong'zhan'ma'ku 凶战马裤
'xiong'zhan'zhan'xue 凶战战靴
'qiang'long'xiong'yan'tou'kui 枪龙凶眼头盔
'qiang'long'fei'yi'zhan'kai 枪龙飞翼战铠
'qiang'long'bi'jia 枪龙臂甲
'qiang'long'tui'jia 枪龙腿甲
'qiang'long'kai'xue 枪龙铠靴
'xu'shi'bao'tou'jin 叙诗包头巾
'xu'shi'dou'peng 叙诗斗篷
'xu'shi'gua'jian'shou'tao 叙诗挂肩手套
'xu'shi'jin'shen'ku 叙诗紧身裤
'xu'shi'zhang'xue 叙诗长靴
'yi'he'tou'jin 伊贺头巾
'yi'he'ren'fu 伊贺忍服
'yi'he'shou'jia 伊贺手甲
'yi'he'ku 伊贺袴
'yi'he'chan'zu 伊贺缠足
'hun'dun'qing'kui 混沌轻盔
'hun'dun'xiong'jia 混沌胸甲
'hun'dun'shou'kai 混沌手铠
'hun'dun'zhong'zu'kai 混沌重足铠
'hun'dun'suo'jia'xue 混沌锁甲靴
'ji'gong'hu'mu'jing 机工护目镜
'ji'gong'chen'shan 机工衬衫
'ji'gong'shou'tao 机工手套
'ji'gong'chen'ku 机工衬裤
'ji'gong'zhang'xue 机工长靴
'bai'qi'dou'mao 白祈兜帽
'bai'qi'chang'pao 白祈长袍
'bai'qi'ban'zhi'hu'shou 白祈半指护手
'bai'qi'duan'qun 白祈短裙
'bai'qi'zhang'xue 白祈长靴
'hei'zhou'san'jiao'mao 黑咒三角帽
'hei'zhou'mo'shu'fu 黑咒魔术服
'hei'zhou'shou'tao 黑咒手套
'hei'zhou'ku'wa 黑咒裤袜
'hei'zhou'zhang'xue 黑咒长靴
'huan'hun'zhang'jiao 唤魂长角
'huan'hun'chang'shan 唤魂长衫
'huan'hun'hu'bi 唤魂护臂
'huan'hun'yao'bu'qun 唤魂腰布裙
'huan'hun'liang'xie 唤魂凉鞋
'xue'shu'li'mao 学术礼帽
'xue'shu'chang'pao 学术长袍
'xue'shu'shou'tao 学术手套
'xue'shu'qun'ku 学术裙裤
'xue'shu'zhang'xue 学术长靴
'si'tian'kuan'bian'mao 司天宽边帽
'si'tian'chang'pao 司天长袍
'si'tian'shou'tao 司天手套
'si'tian'ma'ku 司天马裤
'si'tian'pi'xue 司天皮靴
'yu'di'yu'yan'yao'dai 御敌寓言腰带
'zhi'di'yu'yan'yao'dai 制敌寓言腰带
'qiang'xi'yu'yan'yao'dai 强袭寓言腰带
'jing'zhun'yu'yan'yao'dai 精准寓言腰带
'you'ji'yu'yan'yao'dai 游击寓言腰带
'zhi'yu'yu'yan'yao'dai 治愈寓言腰带
'yong'zhou'yu'yan'yao'dai 咏咒寓言腰带
'yu'di'yu'yan'er'zhui 御敌寓言耳坠
'qiang'gong'yu'yan'er'zhui 强攻寓言耳坠
'jing'zhun'yu'yan'er'zhui 精准寓言耳坠
'zhi'yu'yu'yan'er'zhui 治愈寓言耳坠
'yong'zhou'yu'yan'er'zhui 咏咒寓言耳坠
'yu'di'yu'yan'xiang'huan 御敌寓言项环
'qiang'gong'yu'yan'xiang'huan 强攻寓言项环
'jing'zhun'yu'yan'xiang'huan 精准寓言项环
'zhi'yu'yu'yan'xiang'huan 治愈寓言项环
'yong'zhou'yu'yan'xiang'huan 咏咒寓言项环
'yu'di'yu'yan'shou'zhuo 御敌寓言手镯
'qiang'gong'yu'yan'shou'zhuo 强攻寓言手镯
'jing'zhun'yu'yan'shou'zhuo 精准寓言手镯
'zhi'yu'yu'yan'shou'zhuo 治愈寓言手镯
'yong'zhou'yu'yan'shou'zhuo 咏咒寓言手镯
'yu'di'yu'yan'zhi'huan 御敌寓言指环
'qiang'gong'yu'yan'zhi'huan 强攻寓言指环
'jing'zhun'yu'yan'zhi'huan 精准寓言指环
'zhi'yu'yu'yan'zhi'huan 治愈寓言指环
'yong'zhou'yu'yan'zhi'huan 咏咒寓言指环
'ling'yin'yuan'shou'ju 灵银圆手锯
'ying'yin'shou'ju 硬银手锯
'bai'tai'yuan'shou'ju 白钛圆手锯
'jing'jin'shou'ju 精金手锯
'ling'yin'duan'tie'chui 灵银锻铁锤
'bai'tai'heng'tou'chui 白钛横头锤
'bai'tai'duan'tie'chui 白钛锻铁锤
'jing'jin'heng'tou'chui 精金横头锤
'ling'yin'yuan'tou'chui 灵银圆头锤
'bai'tai'qiu'ding'chui 白钛球顶锤
'bai'tai'yuan'tou'chui 白钛圆头锤
'jing'jin'qiu'ding'chui 精金球顶锤
'ling'yin'gong'yi'chui 灵银工艺锤
'ying'yin'diao'jin'chui 硬银雕金锤
'ying'yin'gong'yi'chui 硬银工艺锤
'huang'jin'diao'jin'chui 皇金雕金锤
'ling'yin'yuan'ge'dao 灵银圆革刀
'bai'tai'zhi'ge'dao 白钛制革刀
'ying'yin'yuan'ge'dao 硬银圆革刀
'huang'jin'zhi'ge'dao 皇金制革刀
'ling'yin'feng'zhen 灵银缝针
'ying'yin'feng'zhen 硬银缝针
'long'ya'feng'zhen 龙牙缝针
'shi'jiu'feng'zhen 狮鹫缝针
'ling'yin'zheng'liu'qi 灵银蒸馏器
'ying'yin'zheng'liu'qi 硬银蒸馏器
'bai'tai'zheng'liu'qi 白钛蒸馏器
'jing'jin'zheng'liu'qi 精金蒸馏器
'xian'ren'ci'jian'guo 仙人刺煎锅
'bai'tai'jian'guo 白钛煎锅
'man'de'la'zhan'dui'jian'guo 蔓德拉战队煎锅
'jing'jin'jian'guo 精金煎锅
'ling'yin'he'zui'chu 灵银鹤嘴锄
'ying'yin'he'zui'gao 硬银鹤嘴镐
'bai'tai'he'zui'chu 白钛鹤嘴锄
'jing'jin'he'zui'gao 精金鹤嘴镐
'ling'yin'shou'fu 灵银手斧
'bai'tai'shou'fu 白钛手斧
'ying'yin'shou'fu 硬银手斧
'jing'jin'shou'fu 精金手斧
'xue'song'diao'gan 雪松钓竿
'an'li'mu'diao'gan 暗栗木钓竿
'zhu'sheng'li'mu'diao'gan 祝圣栗木钓竿
'hua'mu'diao'gan 桦木钓竿
'ling'yin'yang'jiao'chui 灵银羊角锤
'bai'tai'yang'jiao'chui 白钛羊角锤
'jing'jin'yang'jiao'chui 精金羊角锤
'jing'jin'jia'gu'yang'jiao'chui 精金加固羊角锤
'ling'yin'cuo'dao 灵银锉刀
'bai'tai'cuo'dao 白钛锉刀
'jing'jin'cuo'dao 精金锉刀
'jing'jin'jia'gu'cuo'dao 精金加固锉刀
'ling'yin'shou'qian 灵银手钳
'bai'tai'shou'qian 白钛手钳
'jing'jin'shou'qian 精金手钳
'jing'jin'jia'gu'shou'qian 精金加固手钳
'xing'ji'sha'lun'ji 星极砂轮机
'bai'yun'mu'sha'lun'ji 白云母砂轮机
'long'lin'sha'lun'ji 龙鳞砂轮机
'jin'yun'mu'sha'lun'ji 金云母砂轮机
'ling'yin'ping'zhan 灵银平斩
'bai'tai'ping'zhan 白钛平斩
'jing'jin'ping'zhan 精金平斩
'jing'jin'jia'gu'ping'zhan 精金加固平斩
'sheng'xue'song'fang'che 圣雪松纺车
'an'li'mu'fang'che 暗栗木纺车
'hua'mu'fang'che 桦木纺车
'xing'hua'mu'fang'che 星桦木纺车
'ling'yin'yan'bo 灵银研钵
'bai'tai'yan'bo 白钛研钵
'jing'jin'yan'bo 精金研钵
'jing'jin'jia'gu'yan'bo 精金加固研钵
'ling'yin'chu'dao 灵银厨刀
'bai'tai'chu'dao 白钛厨刀
'jing'jin'chu'dao 精金厨刀
'jing'jin'jia'gu'chu'dao 精金加固厨刀
'ling'yin'sui'shi'chui 灵银碎石锤
'bai'tai'sui'shi'chui 白钛碎石锤
'jing'jin'sui'shi'chui 精金碎石锤
'jing'jin'jia'gu'sui'shi'chui 精金加固碎石锤
'ling'yin'lian'dao 灵银镰刀
'bai'tai'lian'dao 白钛镰刀
'jing'jin'lian'dao 精金镰刀
'jing'jin'jia'gu'lian'dao 精金加固镰刀
'ling'yin'qiao'jiang'hu'mu'jing 灵银巧匠护目镜
'sheng'hong'bu'wu'yan'mao 圣虹布无檐帽
'qing'ma'qiao'jiang'bao'tou'jin 青麻巧匠包头巾
'lao'jiang'mao 老匠帽
'qi'mei'xian'wei'qiao'jiang'bao'tou'jin 奇美纤维巧匠包头巾
'gu'niao'ge'qiao'jiang'wai'tao 古鸟革巧匠外套
'sheng'hong'bu'duan'shang'yi 圣虹布短上衣
'qing'ma'qiao'jiang'gong'zuo'kan'jian 青麻巧匠工作坎肩
'lao'jiang'wai'yi 老匠外衣
'qi'mei'xian'wei'qiao'jiang'gong'zuo'kan'jian 奇美纤维巧匠工作坎肩
'gu'niao'ge'qiao'jiang'shou'tao 古鸟革巧匠手套
'sheng'hong'bu'li'fu'shou'tao 圣虹布礼服手套
'zhang'jing'tuo'ge'ban'zhi'shou'tao 长颈驼革半指手套
'lao'jiang'shou'tao 老匠手套
'an'fei'se'long'ge'ban'zhi'shou'tao 安菲瑟龙革半指手套
'sheng'hong'bu'wei'qun 圣虹布围裙
'ju'long'ge'qiao'jiang'yao'dai 巨龙革巧匠腰带
'shi'jiu'ge'gong'ju'yao'dai 狮鹫革工具腰带
'gu'niao'ge'qiao'jiang'ma'ku 古鸟革巧匠马裤
'sheng'hong'bu'da'di'ku 圣虹布打底裤
'qing'ma'duan'qun 青麻短裙
'lao'jiang'qi'bing'ku 老匠骑兵裤
'qi'mei'xian'wei'duan'qun 奇美纤维短裙
'gu'niao'ge'qiao'jiang'zhang'tong'xue 古鸟革巧匠长筒靴
'sheng'hong'bu'li'xie 圣虹布礼鞋
'zhang'jing'tuo'ge'pi'xue 长颈驼革皮靴
'lao'jiang'zhang'xue 老匠长靴
'an'fei'se'long'ge'pi'xue 安菲瑟龙革皮靴
'ling'yin'da'di'hu'mu'jing 灵银大地护目镜
'sheng'hong'bu'cao'mao 圣虹布草帽
'zhang'jing'tuo'ge'fan'bian'mao 长颈驼革翻边帽
'xian'qu'wei'jin 先驱围巾
'an'fei'se'long'ge'fan'bian'mao 安菲瑟龙革翻边帽
'gu'niao'ge'da'di'wai'tao 古鸟革大地外套
'fei'long'ge'pi'yi 飞龙革皮衣
'zhang'jing'tuo'ge'kan'jian 长颈驼革坎肩
'xian'qu'kan'jian 先驱坎肩
'an'fei'se'long'ge'kan'jian 安菲瑟龙革坎肩
'gu'niao'ge'da'di'shou'tao 古鸟革大地手套
'sheng'hong'bu'gong'zuo'shou'tao 圣虹布工作手套
'zhang'jing'tuo'ge'shou'tao 长颈驼革手套
'xian'qu'hu'wan 先驱护腕
'an'fei'se'long'ge'shou'tao 安菲瑟龙革手套
'fei'long'ge'ye'zhan'yao'dai 飞龙革野战腰带
'ju'long'ge'da'di'yao'dai 巨龙革大地腰带
'shi'jiu'ge'sheng'cun'yao'dai 狮鹫革生存腰带
'gu'niao'ge'da'di'ma'ku 古鸟革大地马裤
'fei'long'ge'ji'xi'ku 飞龙革及膝裤
'qing'ma'da'di'ruan'jia'ku 青麻大地软甲裤
'xian'qu'gong'zuo'ku 先驱工作裤
'qi'mei'xian'wei'ruan'jia'ku 奇美纤维软甲裤
'gu'niao'ge'da'di'zhang'tong'xue 古鸟革大地长筒靴
'fei'long'ge'gong'zuo'xue 飞龙革工作靴
'zhang'jing'tuo'ge'liu'su'xue 长颈驼革流苏靴
'xian'qu'pi'xue 先驱皮靴
'an'fei'se'long'ge'liu'su'xue 安菲瑟龙革流苏靴
'sheng'xue'song'xiang'lian 圣雪松项链
'zhu'sheng'li'mu'xiang'lian 祝圣栗木项链
'xing'hua'mu'xiang'lian 星桦木项链
'sheng'xue'song'wan'huan 圣雪松腕环
'zhu'sheng'li'mu'wan'huan 祝圣栗木腕环
'xing'hua'mu'wan'huan 星桦木腕环
'xue'ren'li'chi'er'zhui 雪人利齿耳坠
'long'ya'er'zhui 龙牙耳坠
'huang'jin'qiao'jiang'er'huan 皇金巧匠耳环
'sheng'xue'song'zhi'huan 圣雪松指环
'zhu'sheng'li'mu'zhi'huan 祝圣栗木指环
'xing'hua'mu'zhi'huan 星桦木指环
'fei'long'ge'xiang'huan 飞龙革项环
'ju'long'ge'xiang'huan 巨龙革项环
'shi'jiu'ge'xiang'huan 狮鹫革项环
'fei'long'ge'shou'huan 飞龙革手环
'ju'long'ge'shou'huan 巨龙革手环
'shi'jiu'ge'shou'huan 狮鹫革手环
'ling'yin'da'di'er'huan 灵银大地耳环
'ying'yin'da'di'er'huan 硬银大地耳环
'huang'jin'da'di'er'huan 皇金大地耳环
'fei'long'ge'zhi'huan 飞龙革指环
'ju'long'ge'zhi'huan 巨龙革指环
'shi'jiu'ge'zhi'huan 狮鹫革指环
'ye'mei'gui'tou'jin 野玫瑰头巾
'ye'mei'gui'kai'jia 野玫瑰铠甲
'ye'mei'gui'hu'bi 野玫瑰护臂
'ye'mei'gui'ma'ku 野玫瑰马裤
'ye'mei'gui'pi'xue 野玫瑰皮靴
'cang'qiong'yan'hua 苍穹烟花
'meng'shen'yue'tuan 萌神乐团
'hei'qiao'er'xin'chai 黑巧儿信差
'mi'ni'kai'yin 迷你凯因
'mi'ni'ta'ta'lu 迷你塔塔露
'mi'ni'xi'de 迷你西德
'du'jiao'you'shou 独角幼兽
'gun'du'wan'ou 衮杜玩偶
'xiao'xiao'a'tuo'mo'si 小小阿托莫斯
'mao'tou'xiao'ying 猫头小鹰
'chou'xiao'ya 丑小鸭
'feng'zheng'xiao'mao 风筝小猫
'fa'tiao'tui'che 发条推车
'xiao'xiong'mao 小熊猫
'tie'xiao'ren 铁小人
'shi'jiu'bao'bao 狮鹫宝宝
'mi'ni'bing'zhi'wu'nv 迷你冰之巫女
'ge'si'ta'la 格斯塔拉
'huang'jia'bei'xi'mo'si'bao'bao 皇家贝希摩斯宝宝
'zhui'zong'xi'tong 追踪系统
'mi'ni'xi'wu 迷你夕雾
'gan'lan'bao'shi'shou 橄榄宝石兽
'jin'lv'bao'shi'shou 金绿宝石兽
'tao'jin're 淘金热
'teng'yun'she'jiao'di 腾云蛇角笛
'shi'jiu'jiao'di 狮鹫角笛
'po'mo'ting'yao'shi 破魔艇钥匙
'zhan'bao'ling 战豹铃
'hei'lu'xing'niao'di 黑陆行鸟笛
'ge'bu'lin'zhan'che'chi'lun 哥布林战车齿轮
'chong'shan'lu'xing'niao'ban'zhuang'jia 崇山陆行鸟半装甲
'chong'shan'lu'xing'niao'zhuang'jia 崇山陆行鸟装甲
'gui'zu'zhuang'jia 贵族装甲
'gao'di'zhuang'jia 高地装甲
'bi'si'mai'zhuang'jia 俾斯麦装甲
'luo'bo'na'zhuang'jia 罗波那装甲
'shan'yue'zuo'yi 山岳座椅
'shan'yue'yuan'zhuo 山岳圆桌
'shan'yue'wu'cha'zu'he 山岳午茶组合
'zhao'cai'bao 招财宝
'dong'fang'zao'can'zu'he 东方早餐组合
'ming'ming'ri'dan'gao 命名日蛋糕
'dan'gao'tuo'pan 蛋糕托盘
'dong'fang'wan'can'zu'he 东方晚餐组合
'hai'bin'wu'can'zu'he 海滨午餐组合
'dong'fang'feng'ling 东方风铃
'wan'ju'xiang 玩具箱
'lin'jian'ge'li'ai'qiang 林间隔离矮墙
'lv'zhou'ge'li'ai'qiang 绿洲隔离矮墙
'jiu'tong'jia 酒桶架
'zhan'shi'tai 展示台
'jin'die'mo'xing 金碟模型
'wang'jia'hui'yi'zhuo 王家会议桌
'yan'hui'yuan'zhuo 宴会圆桌
'jin'die'gui'tai 金碟柜台
'xiong'pi'di'tan 熊皮地毯
'ge'er'di'xie'zi'tai 戈耳狄写字台
'ge'er'di'ling'shi'xie'zi'tai 戈耳狄零式写字台
'ge'er'di'zuo'yi 戈耳狄座椅
'ge'er'di'ling'shi'zuo'yi 戈耳狄零式座椅
'xing'lan'shi'ba'yin'he 星蓝石八音盒
'xing'hong'shi'ba'yin'he 星红石八音盒
'jiu'gong'huan'ka'dui'zhan'tai 九宫幻卡对战台
'bi'si'mai'ling'quan 俾斯麦灵泉
'yun'shen'ling'quan 云神灵泉
'mo'gu'li'lv'diao 莫古力绿雕
'kan'ban 看板
'shai'yi'gan 晒衣杆
'hong'mo'ke'cao 红莫柯草
'tie'dao'mu 铁刀木
'he'cheng'sheng'wu'de'cu'pi 合成生物的粗皮
'cang'tian'shi'yuan'shi 苍天石原石
'lan'tie'kuang 蓝铁矿
'shen'hong'shui'jing 深红水晶
'shen'hong'jing'cu 深红晶簇
'shen'lv'shui'jing 深绿水晶
'shen'lv'jing'cu 深绿晶簇
'shen'lan'shui'jing 深蓝水晶
'shen'lan'jing'cu 深蓝晶簇
'zhi'yuan'fan'bu 致远帆布
'tie'dao'mu'mu'cai 铁刀木木材
'ya'la'ge'gao'wei'he'cheng'shou'ge 亚拉戈高位合成兽革
'lu'bing'hua'cong 鲁冰花丛
'tan'xian'jia'gou'huo 探险家篝火
'chong'po 虫珀
'fei'kong'ting'deng'ji'piao 飞空艇登记票
'chen'jiu'de'gu'niao'ge'di'tu 陈旧的古鸟革地图
'chen'jiu'de'fei'long'ge'di'tu 陈旧的飞龙革地图
'chen'jiu'de'ju'long'ge'di'tu 陈旧的巨龙革地图
'mu'gong'mi'ji'di'san'juan 木工秘籍第三卷
'duan'ye'mi'ji'di'san'juan 锻冶秘籍第三卷
'jia'zhou'mi'ji'di'san'juan 甲胄秘籍第三卷
'diao'jin'mi'ji'di'san'juan 雕金秘籍第三卷
'pi'ge'mi'ji'di'san'juan 皮革秘籍第三卷
'cai'feng'mi'ji'di'san'juan 裁缝秘籍第三卷
'lian'jin'mi'ji'di'san'juan 炼金秘籍第三卷
'peng'tiao'mi'ji'di'san'juan 烹调秘籍第三卷
'zhang'xu'bao'nv'wang'de'zhi'jiao 长须豹女王的枝角
'jiu'ji'shen'bing'yuan'xing'zhuang'jia'ban 究极神兵原型装甲板
'ge'er'di'chi'lun 戈耳狄齿轮
'ge'er'di'da'chi'lun 戈耳狄大齿轮
'bi'si'mai'zhi'jiao 俾斯麦之角
'bi'si'mai'mo'jiao 俾斯麦魔角
'luo'bo'na'zhi'chi 罗波那之翅
'luo'bo'na'mo'chi 罗波那魔翅
'bei'xi'mo'si'wang'zhi'jian 贝希摩斯王之剑
'sheng'long'zhi'ya 升龙之牙
'bei'xi'mo'si'wang'zhi'fu 贝希摩斯王之斧
'bei'xi'mo'si'nv'wang'zhi'qiang 贝希摩斯女王之枪
'zui'hou'de'du'jiao'shou'zhi'gong 最后的独角兽之弓
'duo'long'zhi'zhao 堕龙之爪
'bei'xi'mo'si'ling'zhu'zhi'jian 贝希摩斯领主之剑
'zui'hou'de'du'jiao'shou'zhi'huo'qiang 最后的独角兽之火枪
'bai'shi'jiu'zhi'zhang 白狮鹫之杖
'hei'shi'jiu'zhi'zhang 黑狮鹫之杖
'hei'shi'jiu'zhi'shu 黑狮鹫之书
'bai'shi'jiu'zhi'shu 白狮鹫之书
'bai'shi'jiu'zhi'yi 白狮鹫之仪
'bei'xi'mo'si'wang'zhi'dun 贝希摩斯王之盾
'bei'xi'mo'si'wang'zhan'kui 贝希摩斯王战盔
'bei'xi'mo'si'wang'zhan'jia 贝希摩斯王战甲
'bei'xi'mo'si'wang'shou'kai 贝希摩斯王手铠
'bei'xi'mo'si'wang'yao'dai 贝希摩斯王腰带
'bei'xi'mo'si'wang'tui'jia 贝希摩斯王腿甲
'bei'xi'mo'si'wang'kai'xue 贝希摩斯王铠靴
'bei'xi'mo'si'nv'wang'zhan'kui 贝希摩斯女王战盔
'bei'xi'mo'si'nv'wang'zhan'jia 贝希摩斯女王战甲
'bei'xi'mo'si'nv'wang'shou'kai 贝希摩斯女王手铠
'bei'xi'mo'si'nv'wang'yao'dai 贝希摩斯女王腰带
'bei'xi'mo'si'nv'wang'tui'jia 贝希摩斯女王腿甲
'bei'xi'mo'si'nv'wang'kai'xue 贝希摩斯女王铠靴
'sheng'long'zhan'kui 升龙战盔
'sheng'long'pi'jia 升龙皮甲
'sheng'long'shou'tao 升龙手套
'sheng'long'yao'dai 升龙腰带
'sheng'long'shu'xi'ku 升龙束膝裤
'sheng'long'dou'xie 升龙斗鞋
'zui'hou'de'du'jiao'shou'zhi'jiao 最后的独角兽之角
'zui'hou'de'du'jiao'shou'chang'pao 最后的独角兽长袍
'zui'hou'de'du'jiao'shou'hu'bi 最后的独角兽护臂
'zui'hou'de'du'jiao'shou'yao'dai 最后的独角兽腰带
'zui'hou'de'du'jiao'shou'zhang'qun 最后的独角兽长裙
'zui'hou'de'du'jiao'shou'tui'jia'xue 最后的独角兽腿甲靴
'duo'long'zhan'kui 堕龙战盔
'duo'long'pi'jia 堕龙皮甲
'duo'long'shou'tao 堕龙手套
'duo'long'yao'dai 堕龙腰带
'duo'long'shu'xi'ku 堕龙束膝裤
'duo'long'dou'xie 堕龙斗鞋
'bai'shi'jiu'dou'mao 白狮鹫兜帽
'bai'shi'jiu'chang'pao 白狮鹫长袍
'bai'shi'jiu'shou'tao 白狮鹫手套
'bai'shi'jiu'yao'dai 白狮鹫腰带
'bai'shi'jiu'ku'wa 白狮鹫裤袜
'bai'shi'jiu'tong'xue 白狮鹫筒靴
'hei'shi'jiu'dou'mao 黑狮鹫兜帽
'hei'shi'jiu'chang'pao 黑狮鹫长袍
'hei'shi'jiu'shou'tao 黑狮鹫手套
'hei'shi'jiu'yao'dai 黑狮鹫腰带
'hei'shi'jiu'ku'wa 黑狮鹫裤袜
'hei'shi'jiu'tong'xue 黑狮鹫筒靴
'shou'wang'yu'di'xiang'huan 兽王御敌项环
